rome_code,description
A1402,"Réalise des opérations manuelles d''entretien des cultures et de récolte de légumes (endives, champignons, ...) ou végétaux (céréales, tabac, fleurs, ...) selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...).
Peut réaliser des opérations de conditionnement des produits.
Peut effectuer des préparations de commandes."
A1403,"Effectue des opérations simples d''élevage (distribution de nourriture, capture, ramassage, entretien des locaux, ...) selon les règles d''hygiène, de sécurité et les normes environnementales.
Peut réaliser des opérations de tri et de conditionnement de produits de l''élevage.
Peut conduire un troupeau."
A1404,"Réalise les opérations d''élevage aquacole (installation de naissain, suivi de la production, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d''hygiène et de sécurité et la réglementation environnementale.
Peut réaliser la commercialisation de produits issus de la pêche.
Peut coordonner une équipe ou diriger une exploitation aquacole."
A1405,"Réalise les opérations culturales arboricoles ou viticoles (préparation des sols, plantation, taille, ébourgeonnage, application de produits phytosanitaires, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...) et selon les règles d''hygiène, de sécurité et les normes environnementales.
Peut réaliser les opérations de transformation, de conditionnement ou de commercialisation des produits.
Peut coordonner une équipe ou diriger une exploitation arboricole ou viticole."
A1406,"Détermine et commande les manoeuvres de déplacement d''un navire et coordonne les opérations de pêche selon les objectifs d''exploitation (quantitatifs, qualitatifs, ...), les règles d''hygiène, de sécurité et la réglementation environnementale.
Peut commercialiser les produits de la pêche.
Peut diriger un armement."
A1407,"Réalise les opérations d''élevage de bovins ou d''équins (soins d''entretien, reproduction, ...) selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production (rendement, ...).
Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...).
Peut coordonner une équipe et diriger un élevage."
A1408,"Réalise les opérations d''élevage (nourrissage, soins d''entretien, reproduction, ...) sur sol, hors sol, en milieu aquatique, d''animaux rares, sauvages ou de compagnie, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production.
Peut transformer et commercialiser les produits issus de l''élevage (miel, pain d''épices, fourrure, ...).
Peut éduquer ou dresser des animaux de l''élevage (chiens, ...).
Peut coordonner une équipe ou diriger un élevage."
A1409,"Réalise les opérations d''élevage hors-sol ou sur sol de lapins ou de volailles selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production.
Peut transformer et commercialiser des produits issus de l''élevage (viande, oeufs, ...).
Peut coordonner une équipe ou diriger un élevage."
A1410,"Réalise les opérations d''élevage d''ovins ou de caprins (soins d''entretien, reproduction, suivi sanitaire, ...) de plein air, hors sol, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production.
Peut transformer et commercialiser des produits issus de l''élevage (fabrication de fromages, ...).
Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...).
Peut coordonner une équipe ou diriger un élevage."
A1411,"Réalise les opérations d''élevage (nourrissage, reproduction, soins d''entretien, ...) de porcs en verraterie, en maternité, ou en engraissement, ... selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production.
Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...).
Peut transformer des produits issus de l''élevage (charcuterie, ...).
Peut coordonner une équipe ou diriger un élevage."
A1412,"Réalise la fabrication et l''affinage de fromages selon les règles d''hygiène et de sécurité alimentaires, la réglementation des AOC (Appellation d''Origine Contrôlée) et les référentiels qualité de l''entreprise.
Peut effectuer des opérations de commercialisation des produits.
Peut coordonner une équipe ou gérer une entreprise (fromagerie, ...)."
A1413,"Met en oeuvre ou supervise les étapes de fabrication, de conservation et de conditionnement de boissons alcoolisées (vin, bière, cidre, ...) selon les réglementations de fabrication, les réglementations AOC (Appellation d''Origine Contrôlée), les règles d''hygiène et de sécurité alimentaires et les critères qualité de l''entreprise.
Peut effectuer les opérations de vente des produits.
Peut coordonner une équipe ou gérer une structure (cidrerie, cave, ...)."
A1414,"Réalise les opérations de mise en culture (semis, repiquage, traitement, récolte, ...) d''espèces végétales (horticole, maraîchère, pépinière) selon les règles de sécurité et les objectifs d''exploitations (commerciaux, qualitatifs, ...).
Peut réaliser les opérations de conditionnement des produits récoltés.
Peut coordonner une équipe ou diriger une exploitation."
A1415,"Réalise les opérations de pêche côtière ou de pleine mer (capture et conditionnement des prises, entretien et nettoyage du navire et des équipements, ...) selon les règles de sécurité et les objectifs d''exploitation (commerciaux, qualitatifs, ...).
Peut coordonner un équipage."
A1416,"Réalise les opérations de culture de plein champ (semis, traitements, récolte) de céréales et d''autres produits (pommes de terre, betteraves, tabac, tournesol, colza,) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d''hygiène, de sécurité et les normes environnementales.
Peut réaliser des activités d''élevage.
Peut coordonner une équipe ou diriger une exploitation agricole."
A1417,"Réalise les opérations de production de sel (entretien et maintenance des sites salins, mise en eau et régulation des niveaux d''eau, récolte, ...) selon les objectifs d''exploitation (commerciaux, qualitatifs, ...), les règles d''hygiène et de sécurité et les normes environnementales.
Peut coordonner une équipe ou diriger une exploitation salicole."
A1501,"Réalise des soins de confort animalier (préparation, distribution de nourriture, nettoyage de l''environnement, ...) selon les besoins et caractéristiques de l''animal.
Peut mener des actions d''assistance au praticien vétérinaire lors de soins vétérinaires.
Peut réaliser le suivi administratif de la structure."
A1502,"Entretient le pied (sabot, onglon) des chevaux ou des bovins afin de garantir l''aplomb et la santé de l''animal selon ses besoins et caractéristiques et les règles de sécurité et d''hygiène.
Peut poser des ferrures pathologiques ou thérapeutiques. Peut façonner le fer en totalité.
Peut diriger une structure."
A1503,"Réalise des soins animaliers d''hygiène selon les besoins et les caractéristiques de l''animal et les règles d''hygiène.
Peut effectuer la préparation ou la distribution de nourriture aux animaux.
Peut diriger un salon de toilettage."
A1504,"Prévient, diagnostique les maladies animales et réalise les soins auprès des animaux selon les besoins médicaux, chirurgicaux et les impératifs de sécurité sanitaire.
Peut procéder à des analyses biologiques, à des examens d''exploration fonctionnelle sur des animaux.
Peut mener des actions de conseil et d''information auprès d''éleveurs en matière de production animale (hygiène, alimentation, reproduction, ...).
Peut coordonner une équipe, diriger une structure."
B1101,"Conçoit et réalise ou supervise la réalisation d''oeuvres plastiques (sculpture, peinture, installation artistique, ...) sur un thème imposé ou non.
Peut organiser des expositions, mener des actions d''animation ou de formation.
Peut coordonner une équipe."
B1201,"Façonne et décore, à l''unité ou en petite série, des pièces décoratives ou utilitaires en céramique ou en matériaux de synthèse.
Peut créer et commercialiser des pièces façonnées et réaliser la restauration de pièces anciennes.
Peut transmettre son savoir-faire.
Peut diriger un service ou une structure."
B1301,"Conçoit et réalise la décoration et l''aménagement de vitrines, d''espaces de vente, d''expositions, pour valoriser des produits, des services, l''image de marque d''une entreprise et susciter l''intérêt des clients selon les critères marketing de l''entreprise, les réglementations du commerce et les normes de sécurité du bâtiment.
Peut contrôler la conformité d''application des protocoles de présentation des produits sur un ensemble de sites commerciaux, et former des vendeurs, des chefs de rayon à la mise en place des produits.
Peut fabriquer des objets décoratifs (miroir, cadre, ...).
Peut coordonner une équipe ou diriger une structure."
B1302,"Réalise manuellement les opérations nécessaires à la décoration et à la finition (peinture, laque, vernis, émail, ...) d''objets d''art ou d''artisanat.
Peut appliquer un revêtement décoratif ou de protection sur des objets, peindre des décors à main levée et effectuer la restauration d''objets anciens.
Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
Peut diriger un service ou une structure."
B1303,"Décore, ornemente des articles, uniques ou en série limitée, d''arts de la table (argenterie, théières, ...), de décoration (miroirs, meubles, ...), de parure (bijoux, ...), de loisirs sportifs (armes, ...), funéraires (stèles, ...). Intervient sur divers matériaux (métaux, minéraux, matières organiques, synthétiques , cristal, ...) par incision, défoncement de matière, au moyen d''outils manuels (burin, pointe à tracer, ciselet, ...) ou de machines (cabine à sabler, meule, ...), selon les règles d''hygiène et sécurité.
Peut réaliser des gravures en creux pour des matrices ou des outillages et effectuer la restauration d''objets anciens.
Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
Peut diriger un service ou une structure."
B1401,"Façonne à la main, au détail ou en petite série, des pièces et ouvrages décoratifs ou utilitaires (assises de siège, paniers, corbeilles de boulanger, objets d''ameublement, ...) à base de fibres, brins et lianes végétaux (paille, osier, rotin, ...).
Peut créer de nouveaux modèles, usiner le rotin ou le bois, réaliser des architectures végétales décoratives ou utilitaires et cultiver l''osier.
Peut mener des actions de formation ou de sensibilisation à la profession.
Peut diriger une structure."
B1402,"Réalise manuellement des opérations de valorisation, de protection et de réparation de différents types d''ouvrages en papier, imprimés ou manuscrits (livres de bibliophilie, registres, cartes, ...) selon leurs particularités (époque, matériaux, ...).
Peut confectionner des décors de couverture ou restaurer des ouvrages particuliers (cartes, affiches, ...).
Peut former différents publics aux techniques de reliure/restauration.
Peut coordonner une équipe et diriger une structure."
B1501,"Effectue la maintenance, la réparation, la révision, le réglage et l''accord d''instruments de musique ou d''accessoires (archet, ...). Façonne des éléments constitutifs de l''instrument.
Peut fabriquer à l''unité ou en petite série un instrument (bois, cuivre, ...) et y apporter des corrections esthétiques et acoustiques.
Peut restaurer des instruments anciens.
Peut transmettre son savoir-faire.
Peut effectuer la vente ou la location d''instruments et d''accessoires.
Peut diriger un service ou une structure."
B1601,"Crée à l''unité ou en petite série et répare des pièces décoratives et utilitaires de grande taille (statuaire monumentale, rampes d''escaliers, grilles ornementales, ...) ou de petite dimension (statues, pièces d''orfèvrerie, couteaux, armes, clés, serrures anciennes, ...) en différents métaux (acier, cuivre, laiton, bronze, étain, ...), par divers procédés artisanaux de travail des métaux (usinage, formage, moulage ...) selon les règles d''hygiène et de sécurité.
Peut effectuer la restauration d''objets anciens en métal.
Peut transmettre son savoir-faire et participer à des actions de sensibilisation de sa profession.
Peut diriger une structure."
B1602,"Réalise, à l''unité ou en petite série, à froid ou à chaud, des pièces décoratives ou utilitaires en verre à partir de pâte en fusion, poudre, plaque, baguette, ... selon les règles d''hygiène et de sécurité.
Peut usiner et assembler des éléments en verre et poser des pièces verrières (vitrail, néon, ...) sur les chantiers.
Peut transmettre son savoir-faire, participer à des actions de sensibilisation de sa profession et intervenir sur la restauration de pièces anciennes.
Peut coordonner une équipe et diriger un service ou une structure."
B1603,"Conçoit, fabrique ou répare, manuellement ou par des procédés mécaniques, des bijoux, des pièces d''orfèvrerie des objets de décoration ou de culte en métal.
Peut restaurer ou modifier des objets de décoration ou des bijoux anciens, tailler des gemmes, appliquer un revêtement métallique ou effectuer des opérations de décoration par gravure, ciselure, ...
Peut coordonner une équipe et diriger un service ou une structure."
B1604,"Met en service ou remet en état des produits d''horlogerie de petit ou de gros volume (montre, pendule, horloge d''édifice, ...).
Peut assembler des composants de mouvements complexes, habiller les mouvements d''horlogerie et usiner des pièces défectueuses ou manquantes.
Peut effectuer la vente de pièces d''horlogerie et intervenir sur la restauration de pièces anciennes.
Peut coordonner une équipe et diriger une structure."
B1701,"Reconstitue des spécimens d''espèces animales, contemporaines ou paléontologiques et leur milieu naturel dans un objectif scientifique, pédagogique et esthétique selon les règles d''hygiène et de sécurité, et la réglementation (environnement, protection des espèces, ...).
Peut réaliser des montages ostéologiques, des moulages, des prises d''empreintes (crustacés, invertébrés, crânes de gros mammifères,...).
Peut inventorier une collection d''animaux naturalisés et exposer des naturalisations.
Peut diriger une structure."
B1801,"Façonne à la main ou à la machine sur mesure ou en petite série des articles de chapellerie (chapeaux, parures de tête,...) en différents matériaux (feutre, paille, tissu,...).
Peut créer de nouveaux modèles et réaliser les éléments d''ornement (en plumes, perles,...).
Peut diriger une structure."
B1802,"Réalise à la main ou à la machine les opérations (coupe, couture, collage, ...) nécessaires à la fabrication d''objets en cuir et autres matériaux souples (chaussures, sacs, selles, gants, ...) à l''unité ou en petite série selon les spécificités des clients, les règles d''hygiène et de sécurité.
Peut réparer ou restaurer des articles endommagés, concevoir de nouvelles collections et modèles.
Peut coordonner une équipe et diriger une structure."
B1803,"Façonne à la main ou à la machine sur mesure ou en petite série des vêtements (pantalons, robes de soirée, manteaux, ...) en différents matériaux (tissu, cuir, fourrure, ...).
Peut créer de nouveaux modèles, réaliser des croquis, réaliser des retouches sur des vêtements.
Peut coordonner une équipe et diriger une structure."
B1804,"Réalise ou ornemente à l''unité ou en petite série des ouvrages d''art en fils de différents matériaux (soie, laine, coton, plumes, perles, ...) selon différentes techniques (broderie, tissage, ...).
Peut réaliser, restaurer des ouvrages d''art textiles (tapis, tapisserie, ...), concevoir de nouveaux modèles et former aux techniques.
Peut diriger une structure."
B1805,"Crée et conçoit des lignes nouvelles (style, forme, matières, coloris, ...) de produits textiles (habillement, tissu, ...), d''articles chaussants ou d''accessoires de mode (bijoux, ...) en tenant compte du style et de l''image de la marque, et des impératifs techniques et économiques de production.
Peut se spécialiser dans le stylisme d''un ou plusieurs produits (vêtements de sport, chaussures enfant, ...), dans le dessin artistique ou élaborer une gamme de motifs textiles (broderie, ...).
Peut réaliser les modèles, organiser les étapes de la diffusion de la collection.
Peut coordonner une équipe, diriger un service ou une structure."
B1806,"Réalise à la main et à la machine les opérations de fabrication (garnissage, recouvrement, ...) et de rénovation d''assises de sièges, de matelas, d''éléments d''ameublement (rideaux, voilages, tentures, ...) à l''unité ou en petite série.
Peut remettre en état les carcasses de sièges, réaliser la pose de tentures, plafonds tendus, toiles murales, ... chez les clients.
Peut coordonner une équipe et diriger une structure."
C1101,"Conçoit et adapte de nouveaux produits d''assurances. Organise leur diffusion auprès du réseau de vente (agences commerciales, agents généraux d''assurances, courtiers en assurances, ...) selon la réglementation de l''assurance et la stratégie commerciale de l''établissement.
Peut élaborer la stratégie commerciale globale de l''établissement.
Peut réaliser des études techniques et actuarielles dans le cadre de la conception de produits d''assurances.
Peut coordonner une ou plusieurs équipe(s)."
C1102,"Informe et conseille des particuliers, des entreprises, ... en matière d''assurance de biens et de personnes (incendie, accidents, retraite, prévoyance, ...). Procède à la vente de produits et services selon la politique commerciale de l''établissement et la réglementation de l''assurance.
Peut réaliser le montage technique (projet de tarification, ...) et administratif des contrats.
Peut promouvoir des produits et services bancaires."
C1103,"Accompagne une clientèle (particuliers, professionnels, entreprises, ...) dans le choix et le suivi de produits ou de services d''assurances (assurance Incendie, Accidents, Risques Divers -IARD-, assurance vie, ...), selon la réglementation de l''assurance et la stratégie commerciale du cabinet ou de la compagnie mandante.
Développe et fidélise une clientèle de professionnels (artisans, commerçants, ...) ou de particuliers.
Peut assurer la gestion de sinistres (déclaration, encaissement, suivi, ...) jusqu''au règlement.
Peut assurer la gestion d''une ou plusieurs structures (agence ou cabinet).
Peut coordonner une équipe."
C1104,"Organise la planification de l''activité, la gestion administrative et le développement commercial d''une structure dans le domaine de l''assurance (agence, délégation départementale, ...), selon la politique commerciale de l''établissement et la réglementation de l''assurance.
Peut conseiller des clients et vendre des produits d''assurances.
Peut traiter les réclamations de clients."
C1105,"Evalue à court, moyen et long terme la rentabilité des produits d''assurances (santé, habitation, automobile, ...), des produits financiers (assurance vie, épargne, ...) en fonction de l''évolution de l''environnement (espérance de vie, mortalité, cours des marchés, ...) et selon la réglementation de l''assurance et la stratégie commerciale de l''entreprise.
Peut coordonner ou effectuer le contrôle de gestion d''actifs d''une structure.
Peut coordonner une équipe."
C1106,"Analyse et évalue les risques (professionnels, sanitaires, incendies, vols, ...) dans le cadre de la souscription ou de la révision de contrats d''assurances. Apporte des conseils/recommandations en matière de prévention des risques auprès des assurés (entreprises, salariés, particuliers, ...) selon la réglementation de l''assurance du domaine d''intervention (hygiène et sécurité au travail, transport et sécurité routière, ...).
Peut réaliser des actions de sensibilisation auprès de divers publics.
Peut intervenir après des sinistres pour évaluer le montant des dommages et des préjudices.
Peut coordonner une équipe."
C1107,"Enquête sur l''origine de sinistres (accidents, incendies, dégâts des eaux, ...). Evalue le montant des dommages (corporels, matériels, économiques, ...) et propose une indemnisation aux parties concernées (victimes, assurés, ...) selon la réglementation de l''assurance et les garanties prévues dans les contrats souscrits.
Peut proposer des adaptations ou des évolutions de produits d''assurances au service marketing.
Peut coordonner une équipe."
C1108,"Supervise et coordonne les activités d''un service/groupe/département spécialisé (production, sinistres, ...) selon les procédures qualité et la réglementation de l''assurance.
Peut établir des contrats de partenariat.
Peut animer des actions de formation interne."
C1109,"Réalise la rédaction et la gestion (souscription, codification, ...) de contrats d''assurances (risques automobiles, industriels, habitation,...) par référence à des contrats préétablis ou par adaptation de clauses-types, selon la règlementation de l''assurance.
Peut réaliser les appels de cotisations et contrôler leur encaissement.
Peut gérer des litiges et contentieux."
C1110,"Définit et met en place les règles de souscription et les niveaux de tarification de produits d''assurances (assurance de personnes, de biens industriels, ...), selon les impératifs commerciaux de la société d''assurance et la réglementation de l''assurance.
Réalise le suivi d''un portefeuille de produits d''assurances et l''analyse de résultats.
Peut proposer des couvertures de réassurance (facultative et/ou obligatoire).
Peut coordonner une équipe."
C1201,"Accueille et oriente physiquement et téléphoniquement la clientèle ; informe les clients sur les services/produits de base de la banque et de l''assurance. Réalise les opérations courantes de guichet selon les règles et consignes de sécurité des personnes et des biens.
Peut réaliser le suivi des besoins en numéraire de la structure."
C1202,"Etudie et rend avis ou décision sur des demandes de crédits particuliers ou entreprises (immobilier, consommation, ...) et évalue les risques liés à leur octroi selon la stratégie commerciale et financière globale de l''établissement et la réglementation bancaire.
Peut élaborer des supports contractuels, effectuer le suivi des contrats d''assurances rattachés aux crédits.
Peut coordonner une équipe."
C1203,"Conseille et propose des solutions bancaires globales (stratégie d''immobilisation de capital, placement, ...) auprès d''un portefeuille de clients (grandes entreprises, institutionnels, ...) selon la politique commerciale de la banque et la réglementation bancaire.
Peut définir une stratégie commerciale sur son secteur/marché. Peut financer des transactions de commerce international.
Peut coordonner une équipe."
C1204,"Réalise l''étude, la conception et la mise sur le marché de produits bancaires selon la stratégie et l''offre commerciale globale de la banque et la réglementation bancaire.
Peut définir un plan média, rendre décision sur l''octroi de crédits.
Peut coordonner une équipe."
C1205,"Conseil et guide une clientèle de particuliers/personnes physiques dans le choix d''investissements/placements pour constituer ou optimiser leur patrimoine financier selon la réglementation bancaire et financière.
Peut mettre en oeuvre des mandats de gestion.
Peut diriger une structure."
C1206,"Assure le conseil, la promotion et la vente des produits et services financiers de son établissement, auprès d''une clientèle de particuliers, de professionnels et d''entreprises, selon la réglementation bancaire.
Peut réaliser des analyses de marché d''entreprises. Peut accorder ou refuser des demandes de prêts.
Peut aussi proposer des produits d''assurances."
C1207,"Organise la planification et le fonctionnement d''une structure bancaire (caisse locale, service, bureau, agence, ...) selon les orientations de la politique commerciale de la banque et la réglementation bancaire.
Peut gérer un portefeuille de clients, représenter son établissement auprès d''instances administratives ou juridiques et former des collaborateurs à divers produits financiers."
C1301,"Emet des ordres de placement, d''achat et de vente de produits boursiers (taux, titres, ...) sur les marchés financiers sous le contrôle de l''Autorité des Marchés Financiers -AMF- et selon la législation financière.
Peut effectuer la gestion d''un portefeuille d''actifs financiers. Peut procéder au contrôle de conformité des opérations/transactions.
Peut coordonner une équipe."
C1302,"Organise le suivi, le contrôle et l''enregistrement des opérations réalisées sur les marchés financiers (de change, de titres, ...) selon les procédures qualité de l''établissement d''appartenance et les réglementations bancaires et financières.
Peut définir les procédures de traitement des opérations de marché. Peut réaliser le suivi qualité des procédures administratives.
Peut coordonner une équipe."
C1303,"Optimiser le rendement de portefeuilles constitués d''actifs financiers pour le compte de tiers (entreprises, particuliers, institutionnels) ou pour l''entreprise d''appartenance, sous le contrôle de l''Autorité des Marchés Financiers -AMF- et selon la législation."
C1401,"Réalise le suivi administratif de dossiers, la saisie ou la vérification d''opérations bancaires (ordres de bourse, remises de chèque, ...) ou d''assurance (saisie des contrats, mise à jour de cotisation, ...), selon la réglementation de l''assurance ou la réglementation bancaire.
Peut effectuer la gestion de contrats d''assurances (appel à cotisation, ...).
Peut réaliser des opérations commerciales (démarchage téléphonique, ...)."
C1501,"Administre un ou plusieurs site(s) immobilier(s) et met en oeuvre les moyens techniques, administratifs, financiers et comptables de conservation ou d''amélioration du patrimoine immobilier selon la réglementation.
Peut coordonner une équipe, diriger une structure."
C1502,"Effectue la gestion locative et administrative d''un portefeuille de biens immobiliers dans les domaines de l''entretien, du nettoyage, de l''hygiène et de la sécurité technique notamment. Veille à la cohérence et à la qualité des services rendus aux clients et aux bonnes relations avec le bailleur.
Donne un premier niveau d''information aux différents interlocuteurs (locataires, prestataires, personnels de proximité, ...).
Peut être amené à recruter ou former du personnel dit de « proximité » (gardiens, agents d''entretien, agents d''immeuble)."
C1503,"Supervise les études de faisabilité techniques, financières, administratives de projets, programmes immobiliers en fonction des besoins d''une clientèle potentielle ou d''une collectivité. Assure le lancement et la pré-commercialisation des réalisations immobilières selon la réglementation, les délais et les objectifs de rentabilité.
Coordonne les différentes étapes du projet immobilier: conception (étude, montage du dossier, ...), choix des maîtres d''oeuvres, construction, réception des ouvrages.
Peut assister les responsables de programmes immobiliers (suivi des contrats de réservation, suivi des appels de fonds, situation des travaux, préparation des livraisons, ...).
Peut prospecter les terrains à bâtir.
Peut coordonner une équipe, diriger une structure."
C1504,"Réalise des transactions immobilières et/ou foncières (location, vente) et conseille des clients sur les possibilités d''acquisition, de location, de vente selon la législation de l''immobilier.
Peut être spécialisé dans un domaine (immobilier d''entreprise, de commerce, ...).
Peut diriger une agence immobilière ou un réseau d''agences."
D1101,"Réalise les opérations de préparation de viandes et de spécialités bouchères selon les règles d''hygiène et de sécurité alimentaires.
Peut effectuer la vente de produits de boucherie.
Peut gérer un commerce de détail alimentaire (boucherie, boucherie-charcuterie, ...)."
D1102,"Prépare et réalise des produits de boulangerie et de viennoiserie selon les règles d''hygiène et de sécurité alimentaires.
Peut effectuer la vente de produits de boulangerie, viennoiserie.
Peut gérer un commerce de détail alimentaire (boulangerie, boulangerie-pâtisserie, ...)."
D1103,"Prépare et réalise des produits de charcuterie et des produits traiteurs (entrées froides, entrées chaudes, plats cuisinés) selon les règles d''hygiène et de sécurité alimentaires.
Peut effectuer la vente de produits de charcuterie et de produits traiteurs.
Peut gérer un commerce de détail alimentaire (charcuterie, boucherie-charcuterie, ...)."
D1104,"Prépare et confectionne des produits de pâtisserie, confiserie, chocolaterie et glacerie selon les règles d''hygiène et de sécurité alimentaires.
Peut effectuer la vente de produits de pâtisserie, confiserie, chocolaterie et glacerie.
Peut gérer un commerce de détail alimentaire (pâtisserie, confiserie, chocolaterie, glacier, ...)."
D1105,"Réalise la préparation de poissons, crustacés et coquillages selon les règles d''hygiène et de sécurité alimentaires et la réglementation du commerce.
Peut effectuer la vente de produits de la mer auprès de particuliers, de professionnels (grandes surfaces, industrie alimentaire, ....) et réaliser des opérations de transformation de poissons (salaisons, conserves, plats traiteur, ...).
Peut gérer un commerce de détail alimentaire (poissonnerie, ...)."
D1106,"Réalise la vente de produits alimentaires (frais et hors frais) selon la réglementation du commerce, les règles d''hygiène et de sécurité alimentaires et les objectifs commerciaux de l''enseigne, de l''entreprise.
Peut effectuer la préparation (cuisson, coupe, réalisation de plateaux, ...) de produits frais."
D1107,"Réalise des opérations de vente en gros de produits frais (fruits, légumes, fleurs, ...) destinés à un public de professionnels (restaurateurs, détaillants, collectivités, ...) selon la réglementation commerciale, les règles d''hygiène et de sécurité alimentaires et la stratégie commerciale de l''entreprise.
Peut préparer les commandes des clients."
D1201,"Réalise des transactions d''achat et de revente d''objets d''art (tableaux, sculptures, ...), d''objets anciens (livres, gravures, ...) ou d''articles d''occasion (meubles, vêtements, ...) pour une clientèle de professionnels ou de particuliers selon la réglementation du commerce de l''art, du commerce de l''antiquité et de l''occasion.
Peut réaliser des travaux de restauration d''oeuvres d''art et d''objets anciens.
Peut authentifier et dater des oeuvres d''art et des objets anciens."
D1202,"Effectue des soins et traitements capillaires dans un but d''hygiène et d''esthétique.
Conseille et aide au choix de coiffures, de coupes et coiffes en tenant compte de la mode, de la morphologie et du goût du client.
Peut réaliser l''application de coloration temporaire ou durable.
Intervient dans l''accueil des clients et la vente de produits (accessoires de coiffure, produits de traitement capillaire, produits de beauté, ...).
Peut coordonner une équipe ou diriger un salon."
D1203,"Réalise les soins corporels prescrits à des personnes (curistes, clients) et les accompagne durant la prestation ou assiste des professionnels des soins médicaux (kinésithérapeute, médecin thermal, ...) selon les règles d''hygiène et protocoles thérapeutiques.
Peut coordonner une équipe."
D1204,"Réalise tout ou partie des opérations de location de matériels de transport ou de loisirs selon les règles de sécurité des biens et des personnes.
Peut coordonner l''activité d''une équipe."
