metier,GFE,domaine_ONISEP,rome_code,sous_domaine_ONISEP,description
femme / valet de chambre,"S : Hôtellerie, tourisme, loisirs",environnement - énergies - propreté,G1501,hôtellerie,"Une salle de bains propre, un lit fait "" au carré "" avec des draps frais... la chambre est un peu la vitrine de l'hôtel. Si les clients s'y sentent bien, ils resteront peut-être une nuit de plus ou y reviendront. C'est à la femme ou au valet de chambre qu'on doit cette tenue impeccable. Pourtant la clientèle ne la ou ne le voit presque jamais. La discrétion étant l'une de ses qualités. On lui demande aussi de faire preuve de soin, de méthode et de rapidité pour tout nettoyer et remettre en ordre aussitôt les clients sortis. Sans toucher, bien sûr, aux affaires personnelles restées dans la pièce ! Il en va de la réputation de l'établissement. Selon la taille de l'hôtel qui l'emploie, la femme ou le valet de chambre travaille en toute autonomie ou en équipe, sous la houlette d'un/e gouvernant/e. De nombreux emplois sont disponibles, notamment en contrat saisonniers dans des stations de ski en hiver, au bord de la mer ou dans des lieux touristiques en été."
architecte d'intérieur,C : Bâtiment,"arts, culture, artisanat",F1102,arts appliqués,"Ce designer d'espace conçoit aussi bien l'aménagement intérieur de maisons particulières que de bureaux ou de boutiques. Il s'informe des souhaits du client, visite le lieu à aménager, dialogue avec les différents corps de métier (maçons, plombiers, etc.). Il joue avec les volumes, la lumière et les ambiances afin d'élaborer un projet sous forme d'esquisses (au crayon ou sur ordinateur), de plans, de descriptifs d'études techniques et financières des travaux à réaliser. Une fois le projet accepté par le client, l'architecte d'intérieur coordonne les travaux confiés aux différents professionnels. Il doit à la fois posséder la rigueur du géomètre, maîtriser certains logiciels et avoir de solides connaissances artistiques ainsi que le sens de l'esthétique. Si de nombreuses entreprises aujourd'hui font appel à lui pour aménager leurs bureaux ou leurs boutiques, il peut également concevoir des expositions, des décors, des plateaux de débats... L'architecte d'intérieur peut exercer en libéral, à titre individuel ou comme associé dans une agence. Il est parfois salarié dans un atelier d'architecture."
concepteur-rédacteur / conceptrice-rédactrice,"U : Communication, médias","information-communication, audiovisuel",E1104,journalisme - édition - publicité,"« Parce que je le vaux bien », « Elle a tout d'une grande » : avant de sonner de manière si familière à nos oreilles, ces slogans ont jailli du cerveau d'un concepteur-rédacteur. Ce créatif est capable d'élaborer un scénario pour un spot télé, comme de rédiger un encart pour un magazine. Il n'a pas son pareil pour trouver le message qui fait mouche, la formule qu'on retient, l'anecdote qui reste en mémoire. Avant de laisser libre cours à son imagination, il prend soin d'analyser le produit et sa marque, à l'aide du cahier des charges que lui transmet le médiaplanneur. Spécialiste du texte, il travaille en tandem avec le graphiste, qui s'occupe, lui, de l'aspect visuel. Le concepteur-rédacteur doit être à l'écoute du monde et en prise sur son temps, savoir saisir les tendances, manier l'humour, faire preuve de psychologie et, surtout, adorer jouer avec les mots. Il peut évoluer vers un poste de directeur de la création ou monter sa propre agence."
enseignant / enseignante d'art,"W : Droit, enseignement, recherche en sciences humaines","arts, culture, artisanat",K2105,enseignement,"Grâce au dessin, à la peinture, à la photographie, à la sculpture, l'enseignant d'art contribue à ouvrir et à approfondir l'horizon artistique des collégiens et des lycéens. En école d'art et dans les formations supérieures, il forme des jeunes généralement passionnés par leur discipline et qui souhaitent faire de leur passion un métier. Il dispense des cours théoriques sur les différents courants artistiques, l'histoire de l'art et des cours pratiques. Il évalue ses élèves et peut également les emmener dans des musées, des expositions ou leur faire rencontrer des artistes ou des professionnels (designers, graphistes notamment).
Créatif et doté d'une grande imagination, l'enseignant d'art doit faire preuve de pédagogie et de rigueur. Soucieux du bien-être et de la progression de ses élèves, il tient compte des différences de niveau et d'âge pour adapter ses interventions.
Fonctionnaire de l'État ou de la fonction publique territoriale, il est recruté sur concours (Capes, Capet, CAPLP, agrégation, concours du ministère de la Culture), mais les postes sont peu nombreux."
professeur des écoles / professeure des écoles,"W : Droit, enseignement, recherche en sciences humaines","lettres, langues - enseignement",K2106,enseignement,"Enseignant exerçant dans les écoles maternelles ou élémentaires, le professeur des écoles travaille auprès d'enfants âgés de 3 à 11 ans. Dans une classe unique et pendant toute la semaine, il leur enseigne le français, les mathématiques, l'histoire - géographie, les sciences, l'instruction civique, la gym, etc. La polyvalence n'est pas ici un vain mot ! Celui que l'on appelle encore parfois « instituteur » sait s'adapter. Pas facile d'apprendre à lire et à écrire à des enfants de nationalités différentes. Pas évident non plus de suivre les progrès de chacun quand la classe compte une trentaine d'élèves. Et encore moins de maintenir l'attention d'enfants durant une longue journée. La qualité du travail du professeur des écoles dépend beaucoup des relations qu'il entretient avec ses élèves et de son sens de la pédagogie.
Après quelques années d'expérience, le professeur des écoles peut devenir enseignant spécialisé, chef d'établissement scolaire, voire psychologue scolaire s'il est titulaire d'une licence de psychologie. Dans tous les cas, les recrutements se font sur concours spécifique."
orthoptiste,"R : Santé, social, soins personnels",santé - social - sport,J1407,paramédical,"L'orthoptiste intervient à la demande d'un médecin spécialiste (l'ophtalmologiste) pour mesurer, par exemple, le champ visuel ou dépister des strabismes. Si le patient en a besoin, il lui fait faire des exercices de rééducation. Diagnostiqués à temps, de nombreux troubles visuels (fatigue oculaire, strabisme) peuvent être corrigés. C'est pourquoi les enfants constituent les plus nombreux patients dans les salles d'attente. Les adultes, eux, sont pris en charge à la suite d'accident ou de maladie responsable de la perte partielle de la vue. Et, de plus en plus fréquemment, pour des problèmes de fatigue oculaire liée au travail sur écran d'ordinateur. L'orthoptiste mesure l'acuité visuelle et la capacité d'accommodation, et observe la mobilité des globes oculaires. Il s'agit ensuite de rééduquer la vision, par une gymnastique destinée à renforcer la musculature de l'oeil.
Voilà un métier qui a de l'avenir ! Aujourd'hui, les écrans de télévision et les consoles de jeux vidéo mettent nos yeux à rude épreuve. Comme les postes salariés en centre hospitalier, de rééducation ou en dispensaire sont rares, 75 % des orthoptistes exercent en libéral. Certains font des vacations à l'hôpital en plus. L'installation à son compte demande une mise de fonds très importante qu'il n'est pas facile de rentabiliser."
éducateur / éducatrice de jeunes enfants,"R : Santé, social, soins personnels",santé - social - sport,K1202,travail social,"Un atelier dessin, une pause lecture... l'EJE (éducateur de jeunes enfants) propose des activités variées aux enfants de moins de 6 ans dont il a la charge. Il peut exercer dans les établissements de garde (crèches, haltes-garderies) ou dans les ludothèques, mais aussi auprès d'enfants en situation délicate, dans les hôpitaux et les structures pour enfants handicapés ou en difficulté sociale. Son rôle : favoriser l'épanouissement, permettre le développement du langage, apprendre les habitudes d'hygiène et de sécurité ainsi que les règles de la vie sociale...
L'éducateur de jeunes enfants travaille en équipe, avec des puériculteurs et des auxiliaires de puériculture, le plus souvent. S'il doit aimer les enfants, il lui faut également être patient et résistant à la fatigue et au bruit. L'imagination et la créativité sont des qualités importantes."
éducateur sportif / éducatrice sportive des activités aquatiques et de la natation,"S : Hôtellerie, tourisme, loisirs",santé - social - sport,G1204,sport,"Surveiller les baignades et secourir les baigneurs en difficulté... telle est la mission de l'éducateur sportif des activités aquatiques et de la natation, plus connu sous le nom de maître-nageur sauveteur (MNS). Il enseigne aussi la natation, individuellement ou en groupe, du débutant au perfectionnement, sans oublier les bébés nageurs, les scolaires, les femmes enceintes ou les seniors qui ont des besoins spécifiques.
Très recherché, l'éducateur travaille surtout dans les piscines municipales, mais aussi dans les centres de remise en forme, de rééducation ou de thalassothérapie. En été, la demande explose pour travailler sur les lieux de vacances (campings, plans d'eau, plages, etc.)."
matelot à la pêche,"B : Pêche, Mer","agriculture, animaux",N3102,transport,"Le matelot à la pêche participe aux travaux touchant le bateau (entretien), les filets (les mettre en place, les réparer, les remonter) et le poisson. Pour la petite pêche (sorties de 1 à 4 jours), le travail consiste à trier le poisson et à le mettre en caisses. Pour la pêche industrielle (sorties pouvant durer plusieurs mois), il faut non seulement trier le poisson, le nettoyer, mais aussi le mettre en caisses glacées ou en tunnels de congélation.
Ce professionnel doit se plier aux exigences du travail en mer: bruit des moteurs et des engins de pêche, odeurs du poisson, de la mer et du carburant, inconfort ou promiscuité, selon la taille du bateau et le nombre d'équipiers, conditions climatiques difficiles, dangerosité des lieux (ponts glissants, par exemple) et des équipements de pêche. Les temps de travail et de repos, de jour comme de nuit, se font par roulement de 4 h et les séjours en mer peuvent durer plusieurs mois, loin de sa famille..."
technicien / technicienne qualité,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H1503,maintenance - qualité,"Dans une entreprise de production, le technicien qualité travaille en étroite relation avec les opérateurs de fabrication pour assurer la conformité des produits finis par rapport au cahier des charges initial. Il analyse aussi les différents indicateurs pour repérer d'éventuels défauts ou écarts qui pourraient nuire à la qualité des produits. Il sensibilise les équipes au respect des normes de qualité, d'hygiène et sécurité et n'hésite pas à les aider techniquement si nécessaire. Maîtrisant un domaine technique (fabrication mécanique, construction électrique, procédés chimiques...), la CFAO (conception-fabrication assistée par ordinateur) mais aussi les techniques de fabrication, les matériaux utilisés...) le technicien qualité est particulièrement apprécié dans de nombreux secteurs (industrie des papiers cartons mais aussi aéronautique, automobile, agroalimentaire, métallurgie, etc.)."
ingénieur / ingénieure plasturgiste,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H2502,chimie,"Le plastique est partout : planches de surf, ballons de football, pansements, chaussures, matériels médicaux, voitures, etc. Et la plasturgie intègre tous les nouveaux procédés de transformation et de production. L'ingénieur exerce dans une unité de recherche ou de fabrication. Au stade de la conception, il définit le cahier des charges, choisit les matières et les procédés de réalisation. Avant de lancer la production en série, c'est lui qui supervise les essais et les tests. C'est également lui qui organise toute la chaîne de production afin que la qualité des produits soit parfaite à la sortie de l'usine. L'industrie de transformation des matières plastiques regroupe en majorité des PMI (petites et moyennes industries). Certaines d'entre elles ont acquis une dimension internationale. Aussi, l'ingénieur peut être amené à se déplacer, voire à occuper un poste à l'étranger."
ingénieur papetier / ingénieure papetière,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H1206,chimie,"Fin connaisseur du papier, du carton et de leurs différentes utilisations, l'ingénieur papetier maîtrise toute sa chaîne de fabrication. Journaux, livres, papier pour imprimantes et fax, cartons d'emballage, essuie-tout, papiers spéciaux destinés aux travaux du bâtiment ou à l'impression de billets de banque : pour répondre à ces multiples besoins, il met au point de nouveaux produits. Responsable d'une unité de production, il assure le suivi de l'ensemble du processus, depuis la gestion des équipements et des stocks de matières premières jusqu'au contrôle qualité du produit. Les industries papetières, qui ont largement automatisé leurs installations, recherchent des ingénieurs de production. Les PMI (petites et moyennes industries), majoritaires dans ce secteur, privilégient en revanche les profils commerciaux.
Avec de l'expérience, l'ingénieur papetier peut accéder aux fonctions de direction d'une unité de production, d'un bureau d'études ou d'une usine."
conducteur/ conductrice de machines à papier,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",H3101,automatismes,"Le conducteur de machines à papier veille au bon déroulement de la fabrication industrielle du papier, qui sert à faire des mouchoirs, du papier pour imprimés, du papier essuie-tout, du papier d'emballage, etc. À l'intérieur d'une usine, il est chargé de piloter l'outil de production. Il surveille des machines très automatisées, modifie les paramètres de fabrication en fonction de la qualité recherchée, et intervient en cas de problème. L'industrie papetière impose une présence permanente au sein de l'usine, car la production ne doit pas s'arrêter ! Les équipes se relaient en 3 × 8 heures ou en 5 × 8 heures.
Le conducteur de machines à papier obéit à des règles de sécurité très strictes. Le respect des normes européennes en matière d'environnement est également crucial."
oenologue,K : Production alimentaire,"matières premières, fabrication, industries",A1413,agroalimentaire,"Spécialiste de la vigne et du vin, l'oenologue conseille le viticulteur à chaque étape de la production du vin : choix des cépages, analyse des raisins, date des vendanges, contrôle de la fermentation du vin ou de la distillation des eaux-de-vie et des apéritifs, choix des traitements appliqués aux vins, mise en bouteilles... Scientifique, l'oenologue est aussi un ambassadeur des vins qu'il goûte et dont il peut parler, notamment pour leur promotion et leur commercialisation. L'oenologue peut exercer dans les laboratoires, les coopératives ou les domaines viticoles. Cet expert peut être salarié ou indépendant et il est aussi recherché à l'étranger. 10 % des 200 élèves formés chaque année dans l'un des 6 centres de formation s'expatrient."
électricien installateur / électricienne installatrice,"H : Electricité, énergie, électronique",construction - architecture - travaux publics,F1602,électrotechnique,"Pour distribuer l'électricité dans les bâtiments, l'électricien installateur pose des lignes de câbles auxquelles il raccorde les différents équipements électriques. Travaillant sur des chantiers de construction ou de rénovation, il coordonne ses activités avec celles des autres ouvriers. Après avoir étudié les plans et schémas qui concernant la pose des câbles, il repère le futur emplacement des disjoncteurs, tableaux ou armoires électriques. Il installe alors les canalisations et les supports, pose le réseau de câbles, implante les divers matériels (interrupteurs, prises de courant, appareils de chauffage) et effectue les raccordements nécessaires. Une fois ces travaux achevés, il procède à une série de tests pour vérifier que l'installation est bien conforme aux plans et schémas fournis dès le départ. Il participe à la mise en service en présence du client et du chef de chantier. Selon les chantiers, l'électricien peut assurer le câblage des liaisons informatiques ou de la téléphonie, installer et régler la vidéosurveillance, les systèmes d'alarme, la gestion du chauffage et de la climatisation.
Esprit d'équipe, rigueur et sens des responsabilités sont ses principaux atouts. Les débouchés ne manquent pas et les chances d'évoluer vers un poste de chef d'équipe ou de chef de chantier sont réelles."
chef / cheffe de rayon,"Q : Commerce, gestion, finances","commerce, marketing, vente",D1502,grande distribution et petits commerces,"En hypermarché ou dans une grande enseigne spécialisée, le chef de rayon gère les stocks, l'implantation des produits sur les gondoles (rayonnages métalliques placés en tête d'un rayon ou d'une caisse), ainsi que les opérations de promotion. De plus, il dirige une équipe pour atteindre les objectifs de vente fixés par la direction.
Polyvalent et dynamique, le chef de rayon doit avoir une personnalité convaincante pour souder son équipe et la motiver dans les périodes difficiles. Ainsi, les qualités d'un bon professionnel se mesurent souvent à l'ambiance qui règne dans son espace de vente.
Très appréciée des recruteurs, cette expérience constitue un tremplin vers des carrières purement commerciales ou marketing."
commercial / commerciale export,"Q : Commerce, gestion, finances","commerce, marketing, vente",D1402,marketing - vente,"Le commercial export parcourt une zone géographique précise avec comme objectif de développer les parts de marché de son entreprise à l'étranger. Il organise des rendez-vous avec des « prospects » (clients potentiels) et négocie les contrats. Il participe à des salons internationaux et à des foires pour développer son réseau. Il entretient des liens réguliers avec les clients qu'il compte déjà à son actif et se met à l'écoute de leurs besoins.
 "
facteur / factrice,"O : Transport, logistique",logistique - transport,M1603,transport,"À pied, à vélo ou en camionnette, le facteur distribue le courrier. Et, en zone rurale, il est souvent un interlocuteur privilégié. Les plus âgés n'ayant pas la possibilité de se rendre en ville dans un bureau de poste, il peut leur servir d'intermédiaire pour certaines opérations financières. La journée du facteur est bien remplie : le matin, il trie le courrier puis part faire sa tournée avec son lot de cartes postales, de plis administratifs, de factures et d'objets recommandés : en route pour le domicile des usagers ! Une bonne condition physique est indispensable pour exercer ce métier où il faut porter des charges parfois lourdes et affronter les intempéries. Il faut également avoir le sens du contact, être sérieux et autonome.
L'agent de tri, lui, joue un rôle capital pour acheminer près de 15 milliards de plis par an en France. Il ouvre les sacs postaux et veille au bon fonctionnement des machines à trier et à oblitérer. Si la plupart des tâches sont automatisées, certaines opérations continuent de s'effectuer à la main : tri des courriers fragiles, rangement du courrier classé, transfert dans les sacs postaux avant la réexpédition, etc."
directeur / directrice d'office de tourisme,"S : Hôtellerie, tourisme, loisirs",hôtellerie - restauration - tourisme,G1102,tourisme,"Chef d'entreprise, le directeur d'office de tourisme veille à l'équilibre du budget, motive son personnel et élabore un planning de travail. Sa principale mission est de valoriser et d'animer le tourisme local : une bonne connaissance de la région et de ses ressources touristiques (vestiges historiques, sites naturels, lieux de promenade, gastronomie, hébergements, etc.) est indispensable. Pour attirer les touristes, le directeur met au point et organise des campagnes publicitaires, des expositions, des visites guidées... Cela suppose de nombreux déplacements et une grande disponibilité, car il faut participer à des manifestations qui se déroulent souvent en soirée ou le week-end. Plusieurs années d'expérience sont nécessaires avant de prétendre à ce poste."
animateur nature / animatrice nature,"T : Environnement, nettoyage, sécurité",hôtellerie - restauration - tourisme,G1202,tourisme,"Le rôle de l'animateur nature ? Expliquer l'environnement pour enseigner comment le protéger. Pédagogue, il peut intervenir sur des sujets comme la pollution de l'eau et de l'air ou les déchets notamment. Son public est varié : les élèves en « classe verte », comme les adultes désireux de découvrir des sites naturels. Il peut également organiser des visites guidées ou des stages à thèmes (ornithologie, minéralogie par exemple). Savoir communiquer et animer un groupe, faire preuve d'initiative et de créativité sont des qualités déterminantes pour ce métier.
L'animateur nature travaille pour les collectivités territoriales, les associations de protection de la nature, les écomusées, les structures d'éducation populaire, les réserves naturelles, etc. Attention : les animateurs sont souvent embauchés pour des missions plus ou moins longues en tant que contractuels ou vacataires."
aquaculteur / aquacultrice,"B : Pêche, Mer","agriculture, animaux",A1404,élevage - aquaculture,"L'aquaculture se décline en plusieurs spécialités. Le conchyliculteur élève les coquillages et les crustacés. On distingue l'ostréiculteur (pour les huîtres) et le mytiliculteur (pour les moules). Le pisciculteur s'occupe, quant à lui, d'élevages de poissons (marins comme la daurade royale ou le turbot, ou d'eau douce comme l'eturgeon ou la truite). Il exerce plus souvent le long des côtes qu'en pleine mer.
Tous ces professionnels ont des activités communes : sélectionner les espèces, élever les larves et les œufs, les faire éclore, les soigner et les nourrir, tout en respectant des normes très strictes. Il s'agit ensuite de faire parvenir les produits aux poissonniers et restaurateurs. Les exploitations se modernisent et les techniques évoluent. Mais le métier reste physique : on exerce les pieds dans l'eau, quel que soit le temps.
Le bon profil : des connaissances scientifiques (en biologie, notamment), la capacité à échanger avec des chercheurs et des bases en gestion (si on veut diriger sa propre entreprise)."
"garde (chasse, pêche, littoral, rivière, parcs nationaux)","T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,A1204,protection des espaces naturels,"Le garde-chasse, garde-pêche, garde du littoral, garde-rivière, garde des parcs nationaux est chargé de préserver les forêts, les étangs, les rivières, les parcs nationaux ou régionaux. Il lutte contre le braconnage et fait appliquer la réglementation sur les sites protégés. Il dresse des procès-verbaux en cas d'infraction (vandalisme, pollution par exemple). Agent de l'environnement, le garde collecte des informations sur la faune et la flore : inventaire des espèces, comptage et suivi des populations. Le garde a un rôle d'accueil et d'information du public (randonneurs, élèves). Sa capacité à communiquer complète de solides connaissances en zoologie, botanique et géographie. Avoir une bonne condition physique est essentiel. Le travail s'exerce en plein air, par tous les temps, parfois de nuit (pour approcher les bêtes). Le garde est employé par des offices nationaux comme fonctionnaire. Il peut aussi travailler pour des propriétaires privés, associations, fédérations."
dessinateur-projeteur / dessinatrice-projeteuse,C : Bâtiment,construction - architecture - travaux publics,F1104,informatique industrielle et technologique,"Le dessinateur-projeteur du bâtiment est associé aux projets les plus variés dans la construction. Il définit l'architecture d'un ouvrage à l'aide de plans ou d'images en 3D, afin qu'il puisse être construit avec précision. Ce professionnel calcule les dimensions en fonction des documents fournis par l'architecte, établit les plans et schémas de l'ouvrage à réaliser et s'efforce de traduire le plus fidèlement possible l'idée initiale en tenant compte des données techniques transmises par les ingénieurs. Il constitue une maquette numérique du bâtiment. Cette maquette virtuelle permet d'éditer le plan de détail de chaque pièce avec ses différentes vues. Il existe aussi des dessinateurs-projeteurs dans d'autres secteurs industriels (automobile, aéronautique, mécanique, plasturgie). "
